sentence,y_pred
"В его библиотеке имелась вышедшая позд- нее книга М. И. Грпневпча «О тлетворном влиянпп евреев на экономический быт России и о системе еврейской эксплоатацип» (СПб., 1876) (Библиотека, стр. 159;",neutral
"ХХ1Х 2, 165, 348 Мамонтова-Мельчакова, жительница Семипалатинска — X X V I I I ^ 473 Манасеин В. А. — X X X , , 318 Манго, педагог — IX, 130 , 521—522 Мандельштам Л. И. — «В защиту евреев» — X X V , 388 Мандерштерн, барон, родственник А. Е. Врангеля — X X V I I I l t 514 Мане Э. — «Испуганная нимфа» — X I X , 157, 323—324 «Манифест тайного братства „Черный передел""» (прокламация) — X X V I I , 310 Манн Т. - VII, 362;",negative
Но всё же это пока ничего не изменяет; зато верхушка евреев воцаряется над чело- вечеством всё сильнее и тверже и стремится дать миру свой об- лик и свою суть.,neutral
"— Биконсфильд (Дизраэли) Бенджамен (1804— 1881), с 1876 г. лорд — английский политический деятель, сторонник партии тори (аристократов-землевладельцев), романист, потомок испанских евреев, бежавших в Англию от инквизиции.",neutral
"Там было несколько евреев — и никто не презирал их, никто не исключал их, не гнал их.",neutral
"Там было несколько евреев — и никто не презирал их, никто не исключал их, не гнал их.",neutral
"Но в Статейных списках сказано, что Исай Бумштель, мещанин из евреев, 283",neutral
"Но ведь, конечно, все эти негры и литовцы еще беднее евреев, выжимающих из них соки, а ведь те (про- чтите-ка корреспонденцию) гнушаются такой торговлей, на кото- рую так падок еврей; во-вторых, не трудно быть гуманным и4 нравственным, когда самому жирно и весело, а чуть «борьба за существование», так и не подходи ко мне близко.",neutral
"Но восемьдесят миллионов (те- перь считают уже девяносто или за девяносто) составляют цифру населения русской империи, а вовсе не русского народа, владеющего идеалами; в вось- мидесяти или девяноста миллионах заключено, кроме русской, множество иных народностей, кроме православных — миллионы католиков, протестан- тов, евреев, магометан, сотни тысяч язычников.",neutral
"Далее следовал отмеченный писателем текст: «. . .люблю евреев не как свой народ, не как еврейская патриотка, а как того из двух противников, который значительно слабее, а следовательно, и значительно правее и несчастнее.",neutral
"Еще в детстве моем я читал и слыхал про евреев легенду о том, что они-де и теперь неуклонно ждут мессию, все, как самый низший жид, так и самый высший и ученый из них, философ и кабалист-раввин, что они верят все, что мессия соберет их опять и Иерусалиме и низложит все народы мечом своим к их подножию; что по- тому-то-де евреи, по крайней мере в огромном большинстве 4о своем, предпочитают лишь одну профессию — торг золотом и много что обработку его, и это всё будто бы для того, что когда явится мессия, то чтоб не иметь нового отечества, не быть при- крепленным к земле иноземцев, обладая ею, а иметь всё с собою лишь в золоте и драгоценностях, чтоб удобнее их унести, когда Загорит, заблестит луч денницы: 10 И кимвал, п тимпан, и цевницы, И сребро, и добро, и святыню Понесем в старый дом, в Палестину.",negative
"В статье «Сла­ вянофилы, черногорцы и западники» он иронизировал над передовой И. Акса­ кова ог 16 февраля 1862 г., в которой редактор «Дня» требовал ограничения прав евреев; в «Двух лагерях теоретиков» (1862) Достоевский называет «не­ изгладимым пятном на редакции» и другую передовую Аксакова «Москва 2S-IO октября», призывавшую молодое поколение учиться, а не бунтовать, гак как студенты пе имеют «полных прав гражданских, а следовательно, и голоса в делах общественных» (Д, 1862, № 3, стр. 2).",neutral
"X X V I I I , , 167, 169, 174, 453, 450, 485 Яхонтов A. H. — XVIII, 330 Яхонтов В. H. — I X , 425 Яшвиль, петрашевец — XVIII, 170, 350 A. L. — VНачало реакции против евреев в Ковенской губернии» — X X V , 388 «Agence Russe» (газ.)",neutral
— Имеется в впду производство юнкеров-евреев в офицеры.,neutral
"X X I X , , 302 Хвольсон Д. В. — «О некоторых средневековых обвинениях против евреев» — XXV, 388 Хвостов Д. И. — X X , 227, 477-474;",neutral
"Стр. 76.* ю-20 которых я со напечатать / которые я пропускаю, кроме Гольдшгейна 2 0 некоторым из них / некоторые пз них о 2 1 - 2 2 неприятно будет со происходят пз евреев / не согласятся увидеть себя евреями * 4 8 не осталось ни одного / нет непроплеванного места/ «непроплеванного» места о тем «простительнее» / уж и простительнее Стр. 77.",neutral
"Этот, город М. — это большой губернский город в западном крае, и в этом городе 30 множество евреев, есть немцы, русские конечно, поляки, ли- товцы, — и все-то, все эти народности признали праведного ста- ричка каждая за своего.",neutral
"Засмеются и скажут, что это там вовсе не от евреев.",neutral
"Но все-таки не могу вполне поверить кри- 30 кам евреев, что уж так они забиты, замучены и принижены.",neutral
"83 После: три миллиона евреев — начато: это такого я стал / я начал 40 После: продал». — начато: Всего удивительнее для 4 1 из таких / пз тех 43-44 Пр И СВоем образовании, давно уже вписано.",negative
"со статьями, осуждавшими «Иллюстрацию» и поднимавшими вопрос о гражданских правах для евреев, выступили М. И. Горвиц («Атепей», 1858, № 42) и И. А. Чацкин (PB, 1858, № 9).",neutral
"92) ...был бы пан бог да гроши — поговорка, распространенная среди поль- ских евреев и западных белоруссов (см.: Federowski, № 3103).",neutral
"В Коране Авраам считается общим родо- начальником евреев и арабов, одним из предшественников Мухаммеда, основателя мусульманской религии — ислама (VII в.)",neutral
С тех пор это имя сделалось зна- менем национальной религии евреев.,neutral
"Достоев- ский отмечает также проявления еврейского национализма (стремление к национальной обособленности и замкнутости, идея национальной исклю- чительности евреев и их высокомерное отношение к другим религиям и народностям).",neutral
— Священнослужители низшего духовного сана у древних евреев.,neutral
"В это название вы включаете и ту почтенную цифру евреев, получивших высшее образова- ние, отличающихся на всех поприщах государственной жизни, берите хоть...",neutral
"Потом, познакомившись ближе со мной, он уверял меня под клят- вою, что это та самая пееня и именно тот самый мотив, который пели все шестьсот тысяч евреев, от мала до велика, переходя через Чермное море, и что каждому еврею заповедано петь этот мотив в минуту торжества и победы над врагами.",neutral
"Всех больше радовался и суетился из нашей казармы Исай Фомич Бумштейн, каторжный из евреев, о котором уже я упоминал в четвертой главе моего рассказа.",neutral
"Вот я вам пред- ю ставлял примеры того, как относится русское простолюдье к ев- рею; а у меня перед глазами письма евреев, да не из просто- людья, а образованных евреев, и — сколько ненависти в этих письмах к «коренному населению»!",neutral
Или и я враг евреев?,neutral
"Ведь пастор и раввин соединились в общей любви, ведь они почти зо обнялись над этой могилой в виду христиан и евреев.",neutral
"Но что в минуту самых сильных рыданий он, Исай Фомич, должен вдруг, как бы невзначай, вспомнить (это вдруг тоже предписано законом), что есть проро- чество о возвращении евреев в Иерусалим.",neutral
— У евреев — проповедник и хранитель учения иудаизма (от др.-евр. gabbaïach — предание и rabbi — наставник).,neutral
"(Мы думаем, читатели помнят об этом фантастическом обер-про- куроре из евреев.",neutral
"Еще в детстве моем я читал и слыхал про евреев легенду о том, что они-де и теперь неуклонно ждут мессию...",neutral
"Скажу Вам, что я и от других евреев уже получал в этом роде заметки.",neutral
"Так, статья «19 нумер „Дня""» (Bp, 1862, № 2) четко про- тивопоставляется одной из передовиц И. С. Аксакова, настойчиво возра- жавшего против уравнения гражданских прав евреев с правами других инородцев.",neutral
"Всё это, повторяю, слышал я как легенду, по я верю, что суть дела существует непременно, особенно в целой массе евреев, в виде инстннктивно-пеудержпмого влечения.",neutral
"Если высокоме- рие их, если всегдашняя «скорбная брезгливость» евреев к рус- скому племени есть только предубеждение, «исторический на- рост», а не кроется в каких-нибудь гораздо более глубоких тай- нах его закона и строя, — то да рассеется всё это скорее и да сойдемся мы единым духом, в полном братстве, на взаимную помощь и на великое дело служения земле нашей, государству и отечеству нашему!",neutral
"Кроме этой полемики, Достоевский мог иметь в виду сборник статей JL И. Мандельштама «В защиту евреев» (СПб., 1859) и книгу Д. В. Хвольсона «О пекоторых средневековых обвинениях против евреев» (СПб., 1861).",neutral
Врагом же я евреев не был.,neutral
"Так как в сердце моем этой ненависти не было никогда, и те из евреев, которые знакомы со мной и были в сношениях со мной, это знают, то я, с самого начала и прежде всякого слова, с себя это обвинение снимаю, раз навсегда, с тем, чтоб уж потом об этом и не упо- 20 минать особенно.",neutral
"Мы уважаем ее, хотя и до сих пор не можем, на- пример, без смеху припомнить хоть бы о предложении «Дня» о возможности обер-прокурора св<ятейшего> синода из евреев.",neutral
"— До- стоевский имеет в виду следующие обращенные к нему с укором строки из того же письма Ковнера от 26 января 1877 г.: «Вы, говоря о „жиде"" <.. .> в это название <.. .> включаете и ту почтенную цифру евреев, получивших высшее образование, отличающихся на всех поприщах государственной жизни — берите хоть Португалова, Кауфмана, Шапиро, Оршанского, Гольд- штейна (геройски умершего в Сербии за славянскую идею), Ьывидцева и сотнп других имен, работающих на пользу общества и человечества...»",neutral
"X X I V , 212, 407 — «О тлетворном влиянии евреев на экономический быт России . . . »",neutral
"Я думаю, я напишу по поводу этих укоров от евреев несколько строк в февральском «Дневнике» (который еще не начинал писать, ибо до сих пор еще болеп после недавнего припадка падучей моей болезни).® Теперь же Вам скажу, что я вовсе пе враг евреев и никогда им пе был.",neutral
84-87 Текст: национальность у евреев со только после Корана — вписан на полях следующей страницы (с. 39).,neutral
"<.. .> Усвоение Западом иудейского взгляда на жизнь и ее прак- тические требования Реймоид приписывает неизбежному историческому закопу развития, начавшемуся с водворения евреев в Европе и оказав- шемуся более всего влиятельным в Германии», В отличие от Марра, Реймонд ие считал, что «преобладающее зиачеиие евреев <.. .> в обществе, в политике, в науке» может оказать вредиэе влияние на развитие Герма- нии.",neutral
"А между тем мне иногда входила в голову фантазия: ну что, если б это не евреев было 40 в России три миллиона, а русских; а евреев было бы 80 миллио- нов — ну, во что обратились бы у них русские и как бы они их третировали?",neutral
Из евреев тогда в каторге еще ни одного не было.,neutral
"Не значит ли это именно, что в самом труде евреев (то есть огром- ного большинства их, по крайней мере), в самой эксплуатации зо их заключается нечто неправильное, ненормальное, нечто неесте- ственное, несущее само в себе свою кару.",neutral
"У евреев есть мальчики, которые при похоронах распевают псалмы, но запрещается провожать иноверца этими псалмами.",neutral
"Но уже 40-вековое, как Вы говорите, их существо- вание доказывает, что это племя имеет чрезвычайно сильную жизненную силу, котораяг не могла, в продолжение всей исто- рии, не формулироваться в разные status in statu.* Сильнейший status in statu бесспорен и у наших русских евреев.",neutral
"Замечу в скобках и кстати, что всем этим господам из «высших евреев», которые так стоят за свою нацию, слишком даже грешно забывать своего сорокавекового Иегову и отсту- паться от пего.",neutral
"А для этого я прежде всего умо- ляю моих оппонентов и корреспондентов-евреев быть, напротив, к нам, русским, снисходительнее и справедливее.",neutral
"«Послушайте, — сказал бы я этим казанским (да и ска- зал некоторым в глаза), — вы в бога не веруете, это ваше дело, но зачем же вы народ-то оскорбляете, оскорбляя храм его?»9 И народ назвал их еще раз «барчонками», а хуже того — отме- тил их именем «студент», хотя тут много было каких-то евреев и армян (демонстрация, доказано, политическая, извне).",neutral
"ПРИМЕЧАНИЕ К СТАТЬЕ «ОБЩЕСТВО ДЛЯ ПРОТИВУДЕЙСТВИЯ ЧРЕЗМЕРНОМУ РАСПРОСТРАНЕНИЮ ПЬЯНСТВА») От себя прибавим, что все кабатчики неевреи, право, стоят кабатчиков евреев.",neutral
"(Тут опять несколько имен, которых я, кроме Гольдштейнова, 20 считаю не вправе напечатать, потому что некоторым из них, может быть, неприятно будет прочесть, что они происходят из евреев.) . . .",neutral
"И действи- тельно, вся деятельность евреев в этих наших окраинах заключа- лась лишь в постановке коренного населения сколь возможно в безвыходную от себя зависимость, пользуясь местными зако- нами.",neutral
Стр. 87. . . . всегдашняя оскорбная брезгливость» евреев...,neutral
Слышно ли что-нибудь во Франции о вреде от status in statu тамошних евреев?»,neutral
Вопрос шел об уравнении прав евреев и рус- ских в России.,neutral
"(Тут опять несколько имен, которых я, кроме Гольдштей- нова, считаю не вправе напечатать, потому что некоторым из них, может быть, неприятно будет прочесть, что они происходят из евреев.)",neutral
"Достоевский пишет: « . . . я окон- чательно стою, однако же, за совершенное расширение прав евреев в фор- мальном законодательстве <.. .> и за полнейшее равенство прав с корен- ным населением <.. .> Да будет полное и духовное едипение племен и ни- какой разницы прав!»",neutral
"Но некоторое суждение мое я всё же могу иметь, и вот выходит, что сужде- нием моим некоторые из евреев стали вдруг интересоваться.",neutral
"Что означает, например, псторпя студентов евреев <?> с Сувориным?",neutral
"Я написал эти слова выше, но теперь я еще прибавлю к ним, что, несмотря на все соображения, уже мною выставлен- ные, я окончательно стою, одпако же, за совершеппое расшире- ние прав евреев в формальном законодательстве и, если воз- можно только, и за полнейшее равенство прав с корепным насе- лением (N3, хотя, может быть, в иных случаях, они имеют уже 20 и теперь больше прав или, лучше сказать, возможности ими пользоваться, чем само коренное население).",neutral
"— По-видимому, Достоевский концентрированно и лишь по смыслу точно цитирует ряд положений Талмуда в истолковании М. И. Гриневича — автора издания «О тлетворном влиянии евреев па эко- номический быт РОССИИ И О системе еврейской эксплуатации» (СПб., 1876).",neutral
"(март), посвя- щенными положению евреев в тогдашней России, мы находим в них много общего.",neutral
"Вопрос только в том: много ли удастся сделать этим новым, хорошим людям из евреев, и насколько сами они способны к новому и прекрасному делу настоящего братского единения с чуждыми им по вере и по крови людьми?",neutral
"Взгляните на евреев и мусульман: национальность у евреев сложилась только после закона Моисеева, хотя и началась еще из закона Авраамова, а национальности мусульманские явились только после Ко- рана.",neutral
Хорошо; мы и берем в расчет и доказать это можем: в интеллигентном слое русского народа не раз уже раздавались голоса за евреев.,neutral
"Конечно, не от одних евреев, но если евреи окончательно восторжествовали и процвели в Европе именно тогда, когда там восторжествовали эти новые начала даже 20 до степени возведения их в нравственный принцип, то нельзя не заключить, что и евреи приложили тут своего влияния.",neutral
"— Под твердым законом здесь понимается Ветхий завет, строго, до деталей регламентирую- щий жизнь древних евреев.",neutral
С т р . 75. ...этим господам из «высших евреев» со слишком даже грешно забывать своего сорокавекового Иегову...,neutral
"Если же существует вправду такой особый, внутренний, стро- гий строй у евреев, связующий их в нечто цельное и особпое, то водь почти еще можпо задуматься пад вопросом о совершенном срав- ю нении во всем их прав с правами коренного населения.",neutral
"/ Прежде чем отвечать па обвинения их, евреев, укажу па одпо пз [этпх] таких обвинений, признаться, одно из самых характерных.",neutral
"С т р . 165. . . . национальность у евреев сложилась только после закона Моисеева, хотя и началась еще из закона Авраамова, а национальности му- сульманские явились только после Корана.",neutral
"А что до евреев, то всем видно, что права их в выборе местожительства весьма и весьма расширились в последние двадцать лет.",neutral
"Само со- бою, всё что требует гуманность и справедливость, всё что тре- бует человечность и христианский закон — всё это должно быть сделано для евреев.",positive
"4 - 6 в мотивах нашего разъединения с евреем виновен / в мотивах разъ- единения виновен ? скопились эти мотивы / а. Начато: может, они б. скопились они 8 выскажу / скажу * несколько слов / мои несколько слов $ в вообще как я смотрю на это дело вписано. могу выразить / могу сказать * $5-40 Между строк текста: «Прежде всего необходимо со к коренному населению». — на письме К овне р а помета рукою Достоевского: Самозащита позволительна, ведь евреи своих Talos <?> не переменят, зная это заранее, и ограничивают их отчасти.",neutral
"Укажите на какое-нибудь другое племя из русских инородцев, которое бы, по ужасному влиянию своему, могло бы равняться в этом смысле с евреем?",neutral
спросите коренное население: что двигает евреем и что двигало им столько веков?,neutral
"Я не в обвинение это говорю: всё это естественно; я только хочу указать, что в моти- вах нашего разъединения с евреем виновен, может быть, и не один русский народ и что скопились эти мотивы, конечно, с обеих сторон, и еще неизвестно, на какой стороне в большей степени.",neutral
"II вот такого человека хотят теперь представить в стачке с ка- ким-то евреем портным, чтоб, обманув Щапова, поделить с порт- ным барыш и положить в карман несколько рублей!",negative
"Его Агатона («Евреи из Цирндорфа», 1897) сближает с Мышкиным нравственная чистота и подвиж- ническое человеколюбие.",neutral
"И вместо того, чтоб, напротив, влиянием своим под- нять этот уровень образования, усилить знание, породить эконо- мическую способность в коренном населении, вместо того евреи, где ни поселялся, там еще пуще унижал и развращал народ, там еще больше приникало человечество, еще больше падал уровень образования, еще отвратительнее распространялась безвыходная, бесчеловечная бедность, а с нею и отчаяние, В окреапах наших Г,"" - ЯЯ",neutral
"—» При утренней молитве евреи закрепляют на одной руке и на лбу выкрашен- ные в черную краску кожаные наглухо закрытые ящички — тефилин, в ко- торых хранятся зачала Пятикнижья с заповедями о любви к богу и к ближ- ним.",neutral
"своих религиозных обрядов пе исполняют, как прочие мелкие евреи, считают это ниже своего просвещения, да и в бога, дескать, не веруем.",neutral
"32-88 и всегда, как только со новая национальность / а. и тогда же на- чиналась национальность б. и тогда, когда только начиналась рели- гия, тогда только начиналась нов<ая> национальность, ранее ни- когда о 83 После: новая национальность. — а. Евреи, магометане, Рим и его история, первобытная христианская церковь б.",neutral
Городские евреи не оставляли его своим знакомством и покровительством.,neutral
"Так начинались евреи, начинались магометане, начала зарождаться Римская великая импер<ия>, так началась и христианская церковь, тотчас в самый первый год существования своего уже возжаждавшая гражданского идеала, устройства общества совершенно в духе Христа и до [сих] тех нор на земле еще неслыханного, началось же именно с потреб- ности личного самосовершенствования, а вовсе не с целью «спасти животишки» о * £ 33-84 Слов: Взгляните на евреев и мусульман — нет.",neutral
"А дней десять тому назад прочел в «Новом времени» (№ 371) корреспонденцию из Ковно, прехарактерней- Шую: «Дескать, до того набросились там евреи на местное ли- товское население, что чуть не сгубили всех водкой, и только ксендзы спасли бедных опившихся, угрожая им муками ада и устраивая между нпмп общества трезвости».",neutral
"В каторге томились представители многих нацио- нальностей царской России: русские, татары, лезгины, чеченцы, калмыки, евреи и поляки.",neutral
"Стало быть, недаром же все-таки ца- рят там повсеместно евреи на биржах, недаром они движут капита- лами, недаром же они властители кредита и недаром, повторю это, они же властители и всей международной политики, и что будет дальше — конечно, известно и самим евреям: близится их царство, полное их царство!",neutral
"Евреи жили лишь для того, чтобы дождаться бога истинного, и оставили миру бога истинного.",neutral
"Пишут это «образованные» евреи, то есть из таких, которые (я заметил это, но отнюдь не обобщаю мою ваметку, оговариваюсь варанее) — которые всегда как бы постараются дать вам знать, что они, при своем образо- вании, давно уже не разделяют «предрассудков» своей нации, 74",neutral
"И что же, пожалели их тогда евреи?",neutral
Евреи-земле- владельпы и немцы-колонисты.,neutral
"II. PRO И CONTRA 1 Положим, очень трудно узнать сорокавековую историю такого народа, как евреи; но на первый случай я уже то одно знаю, что наверно нет в целом мире другого народа, который бы столько жаловался на судьбу свою, поминутно, за каждым шагом и сло- вом своим, на свое принижение, на свое страдание, на свое му- ченичество.",neutral
"Я все мои 50 лет жизни видел, что евреи, добрые и злые, даже и за стол сесть не захотят с рус- скими, а русский не побрезгает сесть с ними.",neutral
"— Речь идет о законе, вышедшем 27 ноября 1861 г., но которому русские евреи, имеющие дипломы на ученые степени доктора, магистра или кандидата, допускались на службу по всем ведомствам.",neutral
"Я знаю, что евреи, прочтя это, тотчас же закричат, что это неправда, что это клевета, что я лгу, что я по- тому верю всем этим глупостям, что «не знаю сорокавековой ис- тории» этих чистых ангелов, которые несравненно «нравственно чище не только других народностей, но обоготворяемого мною русского народа» (по словам корреспондента, см. выше).",neutral
"Наши оппоненты указывают, что евреи, напротив, бедны, повсеместно даже бедны, а в России особенно, что только самая верхушка евреев богата, банкиры и цари бирж, а из остальных евреев чуть ли не девять десятых их — буквально нищие, мечутся из-за куска хлеба, предлагают куртаж, ищут где бы урвать копейку на хлеб.",neutral
"Евреи все кричат, что есть же и между ними хорошие люди.",neutral
"Но пусть, пусть они нравственно чище всех народов в мире, а рус- ского уж разумеется, а между тем я только что прочел в мар- товской книжке «Вестника Европы» известие о том, что евреи в Америке, Южных Штатах, уже набросились всей массой на зо многомиллионную массу освобожденных негров и уже прибрали ее к рукам по-своему, известным и вековечным своим «золотым промыслом» и пользуясь неопытностью и пороками эксплуати- руемого племени.",neutral
"И так далее, и так далее, всего не пересчитаешь; одним словом, из четырех номеров «Со- временного слова» выходит ясно как день, что г-н Катков, выдаю- щий теперь себя в некотором смысле за гения-хранителя нашего, грешнее того козла, на котором исповедывались древние евреи, а потом навьюченного грехами своими пускали в степь.",neutral
"Ибо что такое Константинополь — огромная масса магометан, центр — магометане, к ним примкнут евреи, армяне и даже сла- вяне против греков.",neutral
"И что же, вот эти-то евреи чуждались во многом русских, не хотели есть с ними, смотрели чуть не свысока (и это где же? в остроге!) и вообще выражали гадливость и брезгли- вость к русскому, к «коренному» народу.",neutral
"Вы говорите, господа образованные евреи п оппоненты, что уже это-то всё вздор и что «если и есть status in statu (то есть ю был, а теперь-де остались самые слабые следы), то единственно лишь гонения привели к нему, гонения породили его, религиоз- ные, с средних веков и раньше, и явился этот status in statu единственно лишь из чувства самосохранения.",neutral
"Чем эксплуатация чужестранцев (евреи ведь все-таки русскно подданные): немцев, англичан, греков, которых в России такая пропасть, лучше жи- цовской эксплуатации?",neutral
"Ну, а евреи: брали ли и берут ли они в расчет, жалуясь и обви- няя русских, столько веков угнетений и гонений, которые пере- нес сам русский народ?",neutral
"его произносят такие люди, как Вы, оно возбуждает такую боль <. . .> Вы отвечаете Вашему корреспонденту, что ведь и вы, русские, вашими кула- ками не хвалитесь (благо!); но мы (евреи) тоже ими не хвалимся <. . .> Вы славянофил, и я знаю, как глубоко следует уважать людей, умеющих все- цело предаться идее; но прежде чем славянофил, Вы человек и общественный делтель; если Вы сердечны в одном отношении, будьте же им в других. . .»",neutral
"Ну, вот я это всё прочел и знаю, что мне в один миг за- кричат, что всё это ничего не доказывает, что это от того, что евреи сами угнетены, сами бедны, п что всё это лишь «борьба за существование», что только глупец разобрать этого не может, и ю пе будь евреи так сами бедны, а, напротив, разбогатей они, то мигом показали бы себя с самой гуманной стороны, так что мир бы весь удивили.",neutral
"Тут, конечно, укажут на других инородцев: «Что вот, дескать, сравнены или почти сравнены в правах, а евреи имеют ирав меньше всех инородцев, и это-де потому, что боятся пас, евреев, что мы-де будто бы вред- нее всех инородцев.",neutral
"И что за идея, что евреи — нация униженная и оскорбленная.",neutral
1-2 Слов: как йрочие мелкпе евреи — нет.,neutral
"Напротив, уверяю вас, что и в казармах, и везде русский простолюдин слишком видит и понимает (да и не скрывают того сами евреи), что еврей с ним есть не захочет, брезгает им, сторонится и ограждается от него сколько может, и что же, — вместо того, чтоб обижаться на это, русский простолюдин спокойно и ясно говорит: «Это у него вера такая, это он по вере своей не ест и сторо- нится» (то есть не потому, что зол), и, сознав эту высшую при- чину, от всей души извиняет еврея.",neutral
"Вон евреи кричат, что они были столько веков угнетены и гонимы, угнетены и го- нимы и теперь, и что это, по крайней мере, надобно взять в рас- чет русскому при суждении о еврейском характере.",neutral
"Когда они молились (а евреи молятся с криком, надевая осо- бое платье), то никто не находил этого странным, не мешал им 20 и не смеялся над ними, чего, впрочем, именно надо бы было ждать от такого грубого, по вашим понятиям, народа, как рус- ские; напротив, смотря на них, говорили: «Это у них такая вера, это они так молятся», — и проходили мимо с спокойствием и почти с одобрением.",neutral
"Что становилось, в десятилетия и столетия, с русским на- родом там, где поселялись евреи, — о том свидетельствует исто- рия наших русских окраин.",neutral
"Христос (кроме его осталь- ного значения) был поправкою этой идеи, расширив ее в всече- ловечность.3 Но евреи не захотели поправки, остались во всей своей прежней узости и прямолинейности, а потому вместо все- человечности обратились во врагов человечества, отрицая всех, кроме себя, и действительно теперь остаются носителями анти- христа, и, уж конечно, восторжествуют на некоторое время.",neutral
Почему же все евреи должны быть ограничены в правах и почему для них должны существовать специальные карательные законы?,neutral
"Неужто можно утверждать, что русский народ вытерпел меньше бед и зол «в свою историю», чем евреи где бы то ни было?",neutral
"Мне кажется, евреи только слишком недавно получили право получать чины.",neutral
"Но во всяком случае ожесточение это свидетельствует ярко о том, как сами евреи смотрят на русских.",neutral
"(«Wo steckt der Mausckel?»), пли „Иудейский либерализм и научный пессимизм?"", опровергает все положе- ния Марра, доказывавшего, что современное германское общество совер- шенно „объсвреилось"" п что евреи внесли в него „спекулятивный реа- лизм"", составляющий отличительную характеристику этого семитского племеии.",neutral
Но евреи всё жалуются на ненависть и стеснения.,neutral
"Таковы, например, евреи, начиная с Авраама и до наших дней, когда они обратились в жидов.",negative
"Представьте же себе, когда я прочел это, мне тотчас же вспомнилось, что мне еще пять лет тому приходило это самое на ум, именно то, что вот ведь негры от рабовладель- цев теперь освобождены, а ведь им не уцелеть, потому что на эту свежую жертвочку как раз набросятся евреи, которых столь много на свете.",negative
"У меня есть знакомые евреи, есть еврейки, приходящие и теперь ко мне за советами по разным предметам, а опп читают «Днев- ник писателя», и хоть щекотливые, как все евреи за еврейство, но мне не враги, а, папротив, приходят.",positive
"— Основатель банкирской фирмы Ротшильдов Мейер Ансельм (1743—1812), выходец пз бедной еврей- ской семьи, сын антикварного торговца, юношей работал и в лавочке отца, и в банкирских конторах.",neutral
"Первая, ко- торую содержал один еврей, была номерная, с платою по пяти- десяти копеек за номер и устроенная для лиц высокого полета.",neutral
"1 Над строкой заметка: понедельник, еврей, лит<ературное?>, стра- ница > * Над строкой: стра<нный?> характ<ер?> 4 Вместо: Но не такие они со этого. — было: Но где им понимать веб •то.",neutral
"Еврей предлагает по- средничество, торгует чужим трудом.",neutral
Еврей?,neutral
Пометы сделаны на обеих сторонах конверта от письма петербургского врача Татьяны Васильевны Бра уде и связаны с занимавшим писателя «еврей- ским вопросом».,neutral
Капитал есть накопленный труд; еврей любит торговать чужим трудом!,neutral
"Г Л А В А В Т О Р А Я I. «ЕВРЕЙСКИЙ ВОПРОС» О, не думайте, что я действительно затеваю поднять «еврей- so ский вопрос»!",neutral
Еврей-офицер — к этому надо привыкнуть.,neutral
"Был один еврей, Исай Бумштейн, ювелир, он же и ростовщик.",neutral
"«Статья наша в № 35 „Иллюстра- ции'4, — писал он, — вызвала оппозицию со стороны иудофилов, без вся- кого сомнения, агентов знаменитого г-на N, который, как видно, не жа- леет золота для славы своего имени, и вот явились в печати два еврей- ские литератора — некто Ребе-Чацкин и Ребе-Горвиц» (Илл, 1858, № 43, 30 октября).",neutral
"11о этому поводу в газете «День» было напечатано: «Так, например, нельзя же предположить, чтоб обер-прокурором святей- шего синода мог делаться еврей, еврей не по происхождению, а по вере!»",neutral
"— Здесь и ниже («И неужто можно утверждать, что не еврей, весьма часто, соединялся с его гонителями, орал у них на откуп русский народ...» и т. д.)",neutral
